PDF Link,Download_Status,File_Size_KB,Error_Message,Downloaded_At
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11080010,success,2275.0869140625,,2026-01-03 20:55:49.955191
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11080019,success,1935.287109375,,2026-01-03 20:55:50.946561
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079567,success,1947.4560546875,,2026-01-03 20:55:52.008740
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11080028,success,5389.54296875,,2026-01-03 20:56:01.000558
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079553,success,2574.5458984375,,2026-01-03 20:55:55.332100
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079594,success,3705.3759765625,,2026-01-03 20:55:57.381217
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079556,success,2304.61328125,,2026-01-03 20:55:54.617175
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079577,success,4362.271484375,,2026-01-03 20:56:00.387923
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079598,success,6989.94921875,,2026-01-03 20:56:07.081824
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079580,success,10165.4453125,,2026-01-03 20:56:16.876129
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079980,success,6677.19140625,,2026-01-03 20:56:13.758339
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11080041,success,2078.6787109375,,2026-01-03 20:56:04.252971
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079408,success,6663.4794921875,,2026-01-03 20:56:14.754554
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079564,success,2665.185546875,,2026-01-03 20:56:10.437887
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11080001,success,1675.349609375,,2026-01-03 20:56:12.205490
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079584,success,6091.6689453125,,2026-01-03 20:56:21.963577
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079988,success,7948.1162109375,,2026-01-03 20:56:25.837492
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079586,success,4538.59375,,2026-01-03 20:56:21.056538
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079573,success,5146.5908203125,,2026-01-03 20:56:23.805578
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079568,success,3968.7412109375,,2026-01-03 20:56:23.007021
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11080017,success,1447.8583984375,,2026-01-03 20:56:24.415430
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11080064,success,6090.23828125,,2026-01-03 20:56:35.896915
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079587,success,2975.705078125,,2026-01-03 20:56:27.956028
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079591,success,2170.6142578125,,2026-01-03 20:56:27.031402
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079597,success,6322.7021484375,,2026-01-03 20:56:36.957574
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079971,success,3161.6552734375,,2026-01-03 20:56:31.924558
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079555,success,2685.0380859375,,2026-01-03 20:56:33.492016
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11079554,success,3800.7109375,,2026-01-03 20:56:32.621348
https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11080147,success,1017.63671875,,2026-01-03 20:56:33.712719
